,index,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,rank,snapshot_time,x,y_final,label,resource,x_final,row,y,icon
0,19,4,queue,depart,18.4194677394744,,,,,2.0,24,250,50.0,Exit,,230.0,0.0,,🧑🏻
1,32,8,queue,depart,27.831264304760506,,,,,2.0,33,250,50.0,Exit,,230.0,0.0,,👩🏼‍🦳
2,35,7,queue,depart,30.007854487798955,,,,,1.0,36,250,50.0,Exit,,250.0,0.0,,👳🏽
3,63,16,queue,depart,42.03568173522282,,,,,2.0,48,250,50.0,Exit,,230.0,0.0,,👴🏾
4,64,12,queue,depart,42.18166517042905,,,,,1.0,48,250,50.0,Exit,,250.0,0.0,,👨🏼‍🔬
5,65,15,queue,depart,44.26048973694137,,,,,1.0,50,250,50.0,Exit,,250.0,0.0,,👨🏼‍🦽
6,66,17,queue,depart,44.456233053672946,,,,,2.0,50,250,50.0,Exit,,230.0,0.0,,👨🏼‍🦱
7,72,13,queue,depart,45.657815854327325,,,,,1.0,51,250,50.0,Exit,,250.0,0.0,,👩🏻‍🦰
8,81,18,queue,depart,48.50071322778104,,,,,1.0,54,250,50.0,Exit,,250.0,0.0,,👷🏾
9,88,19,queue,depart,50.80152602416442,,,,,1.0,56,250,50.0,Exit,,250.0,0.0,,👧🏿
10,97,22,queue,depart,56.380178622005765,,,,,1.0,62,250,50.0,Exit,,250.0,0.0,,🧔🏾
11,103,26,queue,depart,61.04424226439679,,,,,1.0,67,250,50.0,Exit,,250.0,0.0,,👨🏿‍🦰
12,107,21,queue,depart,63.121780422598974,,,,,1.0,69,250,50.0,Exit,,250.0,0.0,,👩🏻‍🦲
13,108,23,queue,depart,65.24884051664057,,,,,1.0,71,250,50.0,Exit,,250.0,0.0,,🧕🏻
14,112,25,queue,depart,66.77338243184586,,,,,1.0,72,250,50.0,Exit,,250.0,0.0,,👨🏾‍🦲
15,118,24,queue,depart,69.10108085307948,,,,,1.0,75,250,50.0,Exit,,250.0,0.0,,👨🏾‍🎓
16,119,27,queue,depart,69.642709658119,,,,,2.0,75,250,50.0,Exit,,230.0,0.0,,🙍🏼‍♂️
17,125,30,queue,depart,74.27413159478866,,,,,1.0,80,250,50.0,Exit,,250.0,0.0,,👨🏿‍🦽
