,index,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,rank,snapshot_time
0,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,0
1,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,1
2,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,2
3,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,3
4,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,4
5,2,1,resource_use,depart,0.0,,,,1.0,1.0,5
6,5,2,resource_use,start_treatment,4.808417207931989,,,,2.0,1.0,5
7,5,2,resource_use,start_treatment,4.808417207931989,,,,2.0,1.0,6
8,5,2,resource_use,start_treatment,4.808417207931989,,,,2.0,1.0,7
9,5,2,resource_use,start_treatment,4.808417207931989,,,,2.0,1.0,8
10,5,2,resource_use,start_treatment,4.808417207931989,,,,2.0,1.0,9
11,5,2,resource_use,start_treatment,4.808417207931989,,,,2.0,1.0,10
12,10,3,resource_use,start_treatment,9.5779392076805,,,,3.0,2.0,10
13,13,4,resource_use,start_treatment,9.750814007077253,,,,4.0,3.0,10
14,5,2,resource_use,start_treatment,4.808417207931989,,,,2.0,1.0,11
15,10,3,resource_use,start_treatment,9.5779392076805,,,,3.0,2.0,11
16,13,4,resource_use,start_treatment,9.750814007077253,,,,4.0,3.0,11
17,5,2,resource_use,start_treatment,4.808417207931989,,,,2.0,1.0,12
18,10,3,resource_use,start_treatment,9.5779392076805,,,,3.0,2.0,12
19,13,4,resource_use,start_treatment,9.750814007077253,,,,4.0,3.0,12
20,5,2,resource_use,depart,4.808417207931989,,,,2.0,1.0,13
21,10,3,resource_use,start_treatment,9.5779392076805,,,,3.0,1.0,13
22,13,4,resource_use,start_treatment,9.750814007077253,,,,4.0,2.0,13
23,18,5,resource_use,start_treatment,12.5707353955924,,,,5.0,3.0,13
24,21,6,resource_use,start_treatment,12.72932378995942,,,,1.0,4.0,13
25,24,7,resource_use,start_treatment,12.870196403555036,,,,2.0,5.0,13
26,10,3,resource_use,start_treatment,9.5779392076805,,,,3.0,1.0,14
27,13,4,resource_use,start_treatment,9.750814007077253,,,,4.0,2.0,14
28,18,5,resource_use,start_treatment,12.5707353955924,,,,5.0,3.0,14
29,21,6,resource_use,start_treatment,12.72932378995942,,,,1.0,4.0,14
30,24,7,resource_use,start_treatment,12.870196403555036,,,,2.0,5.0,14
31,10,3,resource_use,start_treatment,9.5779392076805,,,,3.0,1.0,15
32,13,4,resource_use,start_treatment,9.750814007077253,,,,4.0,2.0,15
33,18,5,resource_use,start_treatment,12.5707353955924,,,,5.0,3.0,15
34,21,6,resource_use,start_treatment,12.72932378995942,,,,1.0,4.0,15
35,24,7,resource_use,start_treatment,12.870196403555036,,,,2.0,5.0,15
36,10,3,resource_use,start_treatment,9.5779392076805,,,,3.0,1.0,16
37,13,4,resource_use,start_treatment,9.750814007077253,,,,4.0,2.0,16
