,index,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,rank,snapshot_time,x,y_final,label,resource,x_final,row,y,icon
0,26,8,queue,wait_here,16.332851109322654,,,,,1.0,17,150,150.0,Wait Here!,,150.0,0.0,,👩🏼‍🦳
1,36,10,queue,wait_here,18.97917696942618,,,,,1.0,19,150,150.0,Wait Here!,,150.0,0.0,,👩🏼‍🦱
2,86,20,queue,wait_here,33.333969265896734,,,,,1.0,34,150,150.0,Wait Here!,,150.0,0.0,,🙎🏼‍♂️
3,2,1,resource_use,depart,0.0,,,,1.0,1.0,5,150,5.0,Exit,,150.0,0.0,,🧔🏼
4,5,2,resource_use,depart,4.808417207931989,,,,2.0,1.0,13,150,5.0,Exit,,120.0,0.0,,👨🏿‍🦯
5,13,4,resource_use,depart,9.750814007077253,,,,4.0,1.0,18,150,5.0,Exit,,60.0,0.0,,🧑🏻
6,18,5,resource_use,depart,12.5707353955924,,,,5.0,2.0,18,150,5.0,Exit,,30.0,0.0,,👩🏿‍🦱
7,10,3,resource_use,depart,9.5779392076805,,,,3.0,1.0,20,150,5.0,Exit,,90.0,0.0,,👨🏻‍🦰
8,29,8,resource_use,depart,17.624208836652507,,,,5.0,1.0,21,150,5.0,Exit,,30.0,0.0,,👩🏼‍🦳
9,34,9,resource_use,depart,18.7960224346458,,,,4.0,2.0,21,150,5.0,Exit,,60.0,0.0,,👨🏿‍🦳
10,24,7,resource_use,depart,12.870196403555036,,,,2.0,1.0,22,150,5.0,Exit,,120.0,0.0,,👳🏽
11,21,6,resource_use,depart,12.72932378995942,,,,1.0,1.0,23,150,5.0,Exit,,150.0,0.0,,🤰
12,46,11,resource_use,depart,20.7815755201665,,,,4.0,1.0,25,150,5.0,Exit,,60.0,0.0,,🧍🏽‍♀️
13,39,10,resource_use,depart,19.358540372411305,,,,3.0,1.0,27,150,5.0,Exit,,90.0,0.0,,👩🏼‍🦱
14,60,13,resource_use,depart,26.952287948082674,,,,2.0,1.0,30,150,5.0,Exit,,120.0,0.0,,👩🏻‍🦰
15,63,14,resource_use,depart,28.263880256008676,,,,1.0,2.0,30,150,5.0,Exit,,150.0,0.0,,🧕🏿
16,53,12,resource_use,depart,23.276347419793748,,,,5.0,1.0,33,150,5.0,Exit,,30.0,0.0,,👨🏼‍🔬
