,index,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,rank,snapshot_time
0,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,0
1,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,1
2,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,2
3,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,3
4,2,1,resource_use,start_treatment,0.0,,,,1.0,1.0,4
5,2,1,resource_use,depart,0.0,,,,1.0,1.0,5
6,7,2,resource_use,start_treatment,4.949905957768471,,,,1.0,1.0,5
7,7,2,resource_use,start_treatment,4.949905957768471,,,,1.0,1.0,6
8,7,2,resource_use,start_treatment,4.949905957768471,,,,1.0,1.0,7
9,7,2,resource_use,start_treatment,4.949905957768471,,,,1.0,1.0,8
10,7,2,resource_use,start_treatment,4.949905957768471,,,,1.0,1.0,9
11,7,2,resource_use,start_treatment,4.949905957768471,,,,1.0,1.0,10
12,9,3,queue,wait_here,9.5779392076805,,,,,1.0,10
13,11,4,queue,wait_here,9.750814007077253,,,,,2.0,10
14,7,2,resource_use,start_treatment,4.949905957768471,,,,1.0,1.0,11
15,9,3,queue,wait_here,9.5779392076805,,,,,1.0,11
16,11,4,queue,wait_here,9.750814007077253,,,,,2.0,11
17,7,2,resource_use,start_treatment,4.949905957768471,,,,1.0,1.0,12
18,9,3,queue,wait_here,9.5779392076805,,,,,1.0,12
19,11,4,queue,wait_here,9.750814007077253,,,,,2.0,12
20,7,2,resource_use,depart,4.949905957768471,,,,1.0,1.0,13
21,14,3,resource_use,start_treatment,12.226218219302746,,,,1.0,1.0,13
22,11,4,queue,wait_here,9.750814007077253,,,,,1.0,13
23,16,5,queue,wait_here,12.656135038489554,,,,,2.0,13
24,14,3,resource_use,start_treatment,12.226218219302746,,,,1.0,1.0,14
25,11,4,queue,wait_here,9.750814007077253,,,,,1.0,14
26,16,5,queue,wait_here,12.656135038489554,,,,,2.0,14
27,14,3,resource_use,start_treatment,12.226218219302746,,,,1.0,1.0,15
28,11,4,queue,wait_here,9.750814007077253,,,,,1.0,15
29,16,5,queue,wait_here,12.656135038489554,,,,,2.0,15
30,14,3,resource_use,start_treatment,12.226218219302746,,,,1.0,1.0,16
31,11,4,queue,wait_here,9.750814007077253,,,,,1.0,16
32,16,5,queue,wait_here,12.656135038489554,,,,,2.0,16
33,14,3,resource_use,start_treatment,12.226218219302746,,,,1.0,1.0,17
34,11,4,queue,wait_here,9.750814007077253,,,,,1.0,17
35,16,5,queue,wait_here,12.656135038489554,,,,,2.0,17
36,14,3,resource_use,start_treatment,12.226218219302746,,,,1.0,1.0,18
37,11,4,queue,wait_here,9.750814007077253,,,,,1.0,18
38,16,5,queue,wait_here,12.656135038489554,,,,,2.0,18
39,14,3,resource_use,start_treatment,12.226218219302746,,,,1.0,1.0,19
40,11,4,queue,wait_here,9.750814007077253,,,,,1.0,19
