,index,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,rank,snapshot_time,x,y_final,label,resource,x_final,row,y,icon
0,7,2,queue,depart,11.31465490900166,,,,,1.0,14,150,-30.0,Exit,,150.0,0.0,,👨🏿‍🦯
1,13,1,queue,depart,18.781710042933145,,,,,1.0,21,150,-30.0,Exit,,150.0,0.0,,🧔🏼
2,21,3,queue,depart,29.28453534690239,,,,,1.0,32,150,-30.0,Exit,,150.0,0.0,,👨🏻‍🦰
3,29,4,queue,depart,34.07098551600514,,,,,1.0,37,150,-30.0,Exit,,150.0,0.0,,🧑🏻
4,30,8,queue,depart,34.2273134629557,,,,,2.0,37,150,-30.0,Exit,,135.0,0.0,,👩🏼‍🦳
5,39,6,queue,depart,39.35238827173076,,,,,1.0,42,150,-30.0,Exit,,150.0,0.0,,🤰
6,40,5,queue,depart,40.523416418860464,,,,,1.0,43,150,-30.0,Exit,,150.0,0.0,,👩🏿‍🦱
7,48,11,queue,depart,45.07105211094333,,,,,2.0,48,150,-30.0,Exit,,135.0,0.0,,🧍🏽‍♀️
8,49,7,queue,depart,45.87257681777626,,,,,1.0,48,150,-30.0,Exit,,150.0,0.0,,👳🏽
9,53,10,queue,depart,55.753384076629395,,,,,1.0,58,150,-30.0,Exit,,150.0,0.0,,👩🏼‍🦱
10,54,9,queue,depart,56.550592236584194,,,,,1.0,59,150,-30.0,Exit,,150.0,0.0,,👨🏿‍🦳
11,55,12,queue,depart,56.87288470848032,,,,,2.0,59,150,-30.0,Exit,,135.0,0.0,,👨🏼‍🔬
12,7,2,queue,died,11.31465490900166,,,,,1.0,12,40,50.0,Died,,40.0,0.0,,👨🏿‍🦯
13,7,2,queue,died,11.31465490900166,,,,,1.0,13,40,50.0,Died,,40.0,0.0,,👨🏿‍🦯
14,30,8,queue,died,34.2273134629557,,,,,1.0,35,40,50.0,Died,,40.0,0.0,,👩🏼‍🦳
15,30,8,queue,died,34.2273134629557,,,,,1.0,36,40,50.0,Died,,40.0,0.0,,👩🏼‍🦳
16,48,11,queue,died,45.07105211094333,,,,,1.0,46,40,50.0,Died,,40.0,0.0,,🧍🏽‍♀️
17,48,11,queue,died,45.07105211094333,,,,,1.0,47,40,50.0,Died,,40.0,0.0,,🧍🏽‍♀️
18,21,3,queue,transferred,29.28453534690239,,,,,1.0,30,100,50.0,Transferred<br>to other<br>Hospital,,100.0,0.0,,👨🏻‍🦰
19,21,3,queue,transferred,29.28453534690239,,,,,1.0,31,100,50.0,Transferred<br>to other<br>Hospital,,100.0,0.0,,👨🏻‍🦰
20,29,4,queue,transferred,34.07098551600514,,,,,1.0,35,100,50.0,Transferred<br>to other<br>Hospital,,100.0,0.0,,🧑🏻
21,29,4,queue,transferred,34.07098551600514,,,,,1.0,36,100,50.0,Transferred<br>to other<br>Hospital,,100.0,0.0,,🧑🏻
22,39,6,queue,transferred,39.35238827173076,,,,,1.0,40,100,50.0,Transferred<br>to other<br>Hospital,,100.0,0.0,,🤰
23,39,6,queue,transferred,39.35238827173076,,,,,1.0,41,100,50.0,Transferred<br>to other<br>Hospital,,100.0,0.0,,🤰
24,40,5,queue,transferred,40.523416418860464,,,,,2.0,41,100,50.0,Transferred<br>to other<br>Hospital,,85.0,0.0,,👩🏿‍🦱
25,40,5,queue,transferred,40.523416418860464,,,,,1.0,42,100,50.0,Transferred<br>to other<br>Hospital,,100.0,0.0,,👩🏿‍🦱
26,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,2,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
27,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,3,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
28,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,4,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
29,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,5,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
30,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,6,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
31,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,7,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
32,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,8,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
33,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,9,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
34,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,10,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
35,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,11,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
36,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,12,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
37,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,13,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
38,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,2.0,13,150,225.0,Being<br>Stabilised,,135.0,0.0,,👨🏻‍🦰
39,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,14,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
40,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,2.0,14,150,225.0,Being<br>Stabilised,,135.0,0.0,,👨🏻‍🦰
41,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,15,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
42,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,2.0,15,150,225.0,Being<br>Stabilised,,135.0,0.0,,👨🏻‍🦰
43,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,16,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
44,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,2.0,16,150,225.0,Being<br>Stabilised,,135.0,0.0,,👨🏻‍🦰
45,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,17,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
46,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,2.0,17,150,225.0,Being<br>Stabilised,,135.0,0.0,,👨🏻‍🦰
47,2,1,queue,wait_here_stabilisation,1.9600158937595045,,,,,1.0,18,150,225.0,Being<br>Stabilised,,150.0,0.0,,🧔🏼
48,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,2.0,18,150,225.0,Being<br>Stabilised,,135.0,0.0,,👨🏻‍🦰
49,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,19,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
50,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,19,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
51,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,20,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
52,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,20,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
53,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,21,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
54,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,21,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
55,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,22,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
56,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,22,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
57,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,23,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
58,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,23,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
59,17,5,queue,wait_here_stabilisation,22.908595392797366,,,,,3.0,23,150,225.0,Being<br>Stabilised,,120.0,0.0,,👩🏿‍🦱
60,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,24,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
61,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,24,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
62,17,5,queue,wait_here_stabilisation,22.908595392797366,,,,,3.0,24,150,225.0,Being<br>Stabilised,,120.0,0.0,,👩🏿‍🦱
63,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,25,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
64,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,25,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
65,17,5,queue,wait_here_stabilisation,22.908595392797366,,,,,3.0,25,150,225.0,Being<br>Stabilised,,120.0,0.0,,👩🏿‍🦱
66,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,26,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
67,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,26,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
68,17,5,queue,wait_here_stabilisation,22.908595392797366,,,,,3.0,26,150,225.0,Being<br>Stabilised,,120.0,0.0,,👩🏿‍🦱
69,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,27,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
70,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,27,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
71,17,5,queue,wait_here_stabilisation,22.908595392797366,,,,,3.0,27,150,225.0,Being<br>Stabilised,,120.0,0.0,,👩🏿‍🦱
72,20,6,queue,wait_here_stabilisation,26.40878892319545,,,,,4.0,27,150,225.0,Being<br>Stabilised,,105.0,0.0,,🤰
73,8,3,queue,wait_here_stabilisation,12.646341422313906,,,,,1.0,28,150,225.0,Being<br>Stabilised,,150.0,0.0,,👨🏻‍🦰
74,12,4,queue,wait_here_stabilisation,18.668457489248997,,,,,2.0,28,150,225.0,Being<br>Stabilised,,135.0,0.0,,🧑🏻
75,17,5,queue,wait_here_stabilisation,22.908595392797366,,,,,3.0,28,150,225.0,Being<br>Stabilised,,120.0,0.0,,👩🏿‍🦱
76,20,6,queue,wait_here_stabilisation,26.40878892319545,,,,,4.0,28,150,225.0,Being<br>Stabilised,,105.0,0.0,,🤰
